trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.04272180004045367,,0.013953099958598614,5,0.04272180004045367,0.04272180004045367,0.027393100084736943,1.500213999999687,[0.3983333333333333],[-0.0016666666666666668],[1],[0],[0],[1.4723495999351144],[],508608,001,2024-10-07_19h45.51.291,visualsearch,2024.1.5,None,2024-10-07 19h45.57.161854 +0530,
1,0,1,0,1.5422507000621408,,1.5039120998699218,10,1.5422507000621408,1.5422507000621408,0.023252899991348386,2.9284260999411345,[0.29333333333333333],[0.3333333333333333],[1],[0],[0],[1.4011840000748634],['target'],508608,001,2024-10-07_19h45.51.291,visualsearch,2024.1.5,None,2024-10-07 19h45.57.161854 +0530,
2,0,2,0,2.9912109000142664,,2.9316950999200344,10,2.9912109000142664,2.9912109000142664,0.024954000022262335,3.76407100004144,[0.4533333333333333],[0.16833333333333333],[1],[0],[0],[0.8076526999939233],[],508608,001,2024-10-07_19h45.51.291,visualsearch,2024.1.5,None,2024-10-07 19h45.57.161854 +0530,
3,0,3,0,3.807113799965009,,3.767829400021583,10,3.807113799965009,3.807113799965009,0.02165520004928112,5.010372099932283,[0.47833333333333333],[-0.10166666666666667],[1],[0],[0],[1.2211849000304937],['target'],508608,001,2024-10-07_19h45.51.291,visualsearch,2024.1.5,None,2024-10-07 19h45.57.161854 +0530,
4,0,4,0,5.073289499850944,,5.013495799852535,10,5.073289499850944,5.073289499850944,0.02228609984740615,6.775283899856731,[0.3566666666666667],[0.14333333333333334],[1],[0],[0],[1.7397506998386234],['target'],508608,001,2024-10-07_19h45.51.291,visualsearch,2024.1.5,None,2024-10-07 19h45.57.161854 +0530,
5,0,5,0,6.838615299900994,,6.778354000067338,10,6.838615299900994,6.838615299900994,0.021670999936759472,9.890235600061715,[-0.44],[0.475],[1],[0],[0],[3.090464900014922],['target'],508608,001,2024-10-07_19h45.51.291,visualsearch,2024.1.5,None,2024-10-07 19h45.57.161854 +0530,
6,0,6,0,9.953388500027359,,9.892514599952847,10,9.953388500027359,9.953388500027359,0.026830599876120687,12.753949099918827,[0.4066666666666667],[-0.445],[1],[0],[0],[2.8347234001848847],['target'],508608,001,2024-10-07_19h45.51.291,visualsearch,2024.1.5,None,2024-10-07 19h45.57.161854 +0530,
7,0,7,0,12.818479999899864,,12.756202599965036,10,12.818479999899864,12.818479999899864,0.02276329998858273,24.581745099974796,[0.2633333333333333],[0.12166666666666667],[1],[0],[0],[11.802596900146455],[],508608,001,2024-10-07_19h45.51.291,visualsearch,2024.1.5,None,2024-10-07 19h45.57.161854 +0530,
8,0,8,0,24.677542299963534,,24.58621950005181,10,24.677542299963534,24.677542299963534,0.03150809998624027,35.05909670004621,[0.375],[-0.45166666666666666],[1],[0],[0],[10.441577899968252],[],508608,001,2024-10-07_19h45.51.291,visualsearch,2024.1.5,None,2024-10-07 19h45.57.161854 +0530,
9,0,9,0,35.08734269998968,,35.062887700041756,5,35.08734269998968,35.08734269998968,0.012592199956998229,36.19312660000287,[0.17166666666666666],[-0.34833333333333333],[1],[0],[0],[1.1180362000595778],['target'],508608,001,2024-10-07_19h45.51.291,visualsearch,2024.1.5,None,2024-10-07 19h45.57.161854 +0530,
10,0,10,0,36.23637479986064,,36.195892999880016,10,36.23637479986064,36.23637479986064,0.023334699915722013,37.975495900027454,[0.31833333333333336],[0.19833333333333333],[1],[0],[0],[1.7558638998307288],['target'],508608,001,2024-10-07_19h45.51.291,visualsearch,2024.1.5,None,2024-10-07 19h45.57.161854 +0530,
11,0,11,0,38.002113400027156,,37.978459500009194,5,38.002113400027156,38.002113400027156,0.012483699945732951,38.89060619985685,[0.17833333333333334],[0.041666666666666664],[1],[0],[0],[0.899803499924019],['target'],508608,001,2024-10-07_19h45.51.291,visualsearch,2024.1.5,None,2024-10-07 19h45.57.161854 +0530,
