trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.04382560006342828,,0.015209600096568465,5,0.04382560006342828,0.04382560006342828,0.02636759984306991,2.548489399952814,[0.41333333333333333],[-0.03166666666666667],[1],[0],[0],[2.5215267001185566],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
1,0,1,0,2.5925306000281125,,2.551994899986312,10,2.5925306000281125,2.5925306000281125,0.025873699923977256,4.161954700015485,[-0.07],[0.41],[1],[0],[0],[1.5841558000538498],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
2,0,2,0,4.2086718999780715,,4.16408390016295,10,4.2086718999780715,4.2086718999780715,0.02309400006197393,5.393516800133511,[0.13333333333333333],[-0.11],[1],[0],[0],[1.206347200088203],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
3,0,3,0,5.44039100012742,,5.39630650007166,10,5.44039100012742,5.44039100012742,0.023312499979510903,9.141605900134891,[0.4633333333333333],[-0.38],[1],[0],[0],[3.7224688997957855],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
4,0,4,0,9.171615300001577,,9.144843599991873,5,9.171615300001577,9.171615300001577,0.01118269981816411,10.527166200103238,[-0.2833333333333333],[0.3383333333333333],[1],[0],[0],[1.371379200136289],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
5,0,5,0,10.570417399983853,,10.529272499959916,10,10.570417399983853,10.570417399983853,0.020922800060361624,12.641242400044575,[-0.20166666666666666],[-0.19666666666666666],[1],[0],[0],[2.0911262999288738],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
6,0,6,0,12.685739800101146,,12.64355339994654,10,12.685739800101146,12.685739800101146,0.023432699963450432,14.007929400075227,[0.19166666666666668],[-0.06],[1],[0],[0],[1.3410404999740422],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
7,0,7,0,14.035280500072986,,14.01014110003598,5,14.035280500072986,14.035280500072986,0.011457700049504638,20.06889250013046,[-0.0033333333333333335],[0.045],[1],[0],[0],[6.047497000079602],[],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
8,0,8,0,20.114734000060707,,20.071074800100178,10,20.114734000060707,20.114734000060707,0.02405690005980432,21.171333899954334,[0.21666666666666667],[0.045],[1],[0],[0],[1.0762479999102652],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
9,0,9,0,21.214171099942178,,21.17479049996473,10,21.214171099942178,21.214171099942178,0.023899500025436282,24.282797400141135,[-0.16333333333333333],[-0.14666666666666667],[1],[0],[0],[3.0842396998777986],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
10,0,10,0,24.311645000008866,,24.286785800009966,5,24.311645000008866,24.311645000008866,0.013622600119560957,25.34988380013965,[-0.23833333333333334],[-0.31833333333333336],[1],[0],[0],[1.0505389000754803],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
11,0,11,0,25.394966500112787,,25.35276190005243,10,25.394966500112787,25.394966500112787,0.024524700129404664,27.812325600069016,[0.11166666666666666],[0.43333333333333335],[1],[0],[0],[2.4355448000133038],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
12,0,12,0,27.85915690008551,,27.814698199974373,10,27.85915690008551,27.85915690008551,0.025448399828746915,29.129363200161606,[0.2966666666666667],[0.15666666666666668],[1],[0],[0],[1.2891864001285285],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
13,0,13,0,29.15874640014954,,29.132073200074956,5,29.15874640014954,29.15874640014954,0.01183830015361309,30.382456900086254,[0.24166666666666667],[-0.31833333333333336],[1],[0],[0],[1.238531099865213],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
14,0,14,0,30.408283700002357,,30.384560100035742,5,30.408283700002357,30.408283700002357,0.011202699970453978,31.8110430999659,[-0.41333333333333333],[-0.07666666666666666],[1],[0],[0],[1.415454400004819],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
15,0,15,0,31.873788400087506,,31.813493800116703,10,31.873788400087506,31.873788400087506,0.02647190005518496,33.02661870000884,[-0.07666666666666666],[0.19666666666666666],[1],[0],[0],[1.1868781000375748],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
16,0,16,0,33.05585990007967,,33.02879839995876,5,33.05585990007967,33.05585990007967,0.013852499891072512,34.04523400007747,[0.25333333333333335],[0.17166666666666666],[1],[0],[0],[1.0026520998217165],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
17,0,17,0,34.07271090010181,,34.047352500027046,5,34.07271090010181,34.07271090010181,0.011194100137799978,35.243340000044554,[-0.08166666666666667],[0.04833333333333333],[1],[0],[0],[1.1847594000864774],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
18,0,18,0,35.28919279994443,,35.24621090013534,10,35.28919279994443,35.28919279994443,0.021333400160074234,37.541835700161755,[-0.4116666666666667],[-0.20166666666666666],[1],[0],[0],[2.274336899863556],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
19,0,19,0,37.60361450002529,,37.54401049995795,10,37.60361450002529,37.60361450002529,0.024099400034174323,46.83574020001106,[-0.24833333333333332],[-0.385],[1],[0],[0],[9.267559499945492],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
20,0,20,0,46.89759670011699,,46.83786440012045,10,46.89759670011699,46.89759670011699,0.020787000190466642,48.399506099987775,[-0.4216666666666667],[0.18333333333333332],[1],[0],[0],[1.540565200150013],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
21,0,21,0,48.463277500122786,,48.40210870001465,10,48.463277500122786,48.463277500122786,0.024179999949410558,52.4965715999715,[0.46],[-0.17666666666666667],[1],[0],[0],[4.070351799950004],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
22,0,22,0,52.528004500083625,,52.49883699999191,5,52.528004500083625,52.528004500083625,0.010560499969869852,54.232308899983764,[-0.2833333333333333],[0.2783333333333333],[1],[0],[0],[1.7229747001547366],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
23,0,23,0,54.27603409998119,,54.23463850002736,10,54.27603409998119,54.27603409998119,0.022452899953350425,58.87610290013254,[0.3466666666666667],[0.4716666666666667],[1],[0],[0],[4.619193000020459],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
24,0,24,0,58.92264600005001,,58.87824400002137,10,58.92264600005001,58.92264600005001,0.024466500151902437,60.06178770004772,[0.36666666666666664],[0.12166666666666667],[1],[0],[0],[1.1589252999983728],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
25,0,25,0,60.08915559994057,,60.06564060016535,5,60.08915559994057,60.08915559994057,0.015118899988010526,61.893455300014466,[-0.29],[0.3883333333333333],[1],[0],[0],[1.812908299965784],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
26,0,26,0,61.92082260013558,,61.895579900126904,5,61.92082260013558,61.92082260013558,0.013082199962809682,63.22684420016594,[0.49166666666666664],[0.115],[1],[0],[0],[1.3180989001411945],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
27,0,27,0,63.28661870001815,,63.22933240002021,10,63.28661870001815,63.28661870001815,0.027140199905261397,64.80894799996167,[0.0016666666666666668],[0.09833333333333333],[1],[0],[0],[1.552278800169006],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
28,0,28,0,64.83620160003193,,64.8110641001258,5,64.83620160003193,64.83620160003193,0.011874299962073565,65.99059880012646,[-0.13833333333333334],[0.34],[1],[0],[0],[1.1671507998835295],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
29,0,29,0,66.03500990010798,,65.99307480012067,10,66.03500990010798,66.03500990010798,0.02716639987193048,67.9380964001175,[-0.26],[0.21666666666666667],[1],[0],[0],[1.918048899853602],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
30,0,30,0,67.9669608999975,,67.94028570014052,5,67.9669608999975,67.9669608999975,0.013377700001001358,69.34328230004758,[-0.21833333333333332],[0.105],[1],[0],[0],[1.3895703998859972],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
31,0,31,0,69.38327680015936,,69.34571370016783,10,69.38327680015936,69.38327680015936,0.021454100031405687,71.30121590010822,[0.095],[0.25333333333333335],[1],[0],[0],[1.9343836999032646],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
32,0,32,0,71.33165029995143,,71.30342350015417,5,71.33165029995143,71.33165029995143,0.014136800076812506,73.76993559999391,[-0.12666666666666668],[0.48833333333333334],[1],[0],[0],[2.4525612997822464],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
33,0,33,0,73.79704410000704,,73.77213419997133,5,73.79704410000704,73.79704410000704,0.013975299894809723,75.08353230007924,[-0.495],[-0.11333333333333333],[1],[0],[0],[1.2976309000514448],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
34,0,34,0,75.11245939997025,,75.0856501001399,5,75.11245939997025,75.11245939997025,0.014148399932309985,76.21812960016541,[-0.39166666666666666],[0.245],[1],[0],[0],[1.1185014999937266],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
35,0,35,0,76.24538130010478,,76.22038420010358,5,76.24538130010478,76.24538130010478,0.012987799942493439,77.81641500000842,[-0.45],[-0.3933333333333333],[1],[0],[0],[1.5827757997903973],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
36,0,36,0,77.84420750010759,,77.81893930002116,5,77.84420750010759,77.84420750010759,0.01317170006223023,79.08246419997886,[0.27],[0.15666666666666668],[1],[0],[0],[1.2502876999787986],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
37,0,37,0,79.1264683001209,,79.08489680010825,10,79.1264683001209,79.1264683001209,0.024022799916565418,80.46566320001148,[-0.31833333333333336],[0.19333333333333333],[1],[0],[0],[1.3570600000675768],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
38,0,38,0,80.49242989998311,,80.46787080005743,5,80.49242989998311,80.49242989998311,0.013667100109159946,81.39847080013715,[-0.16],[0.21833333333333332],[1],[0],[0],[0.9168223000597209],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
39,0,39,0,81.4419329999946,,81.40096700005233,10,81.4419329999946,81.4419329999946,0.022988200187683105,85.21298770001158,[0.27666666666666667],[0.475],[1],[0],[0],[3.789143699919805],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
40,0,40,0,85.27305720001459,,85.21537800016813,10,85.27305720001459,85.27305720001459,0.02503050002269447,87.07464090012945,[-0.31666666666666665],[-0.041666666666666664],[1],[0],[0],[1.83441839995794],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
41,0,41,0,87.10543829994276,,87.0770024000667,5,87.10543829994276,87.10543829994276,0.01548999990336597,88.52839810005389,[-0.006666666666666667],[-0.15166666666666667],[1],[0],[0],[1.4359438000246882],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
42,0,42,0,88.55472400016151,,88.53105790005066,5,88.55472400016151,88.55472400016151,0.010798800038173795,91.20795940002427,[0.006666666666666667],[-0.016666666666666666],[1],[0],[0],[2.6656580998096615],[],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
43,0,43,0,91.2526054000482,,91.21095980005339,10,91.2526054000482,91.2526054000482,0.022401100024580956,94.07032800000161,[-0.085],[-0.36333333333333334],[1],[0],[0],[2.837226500036195],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
44,0,44,0,94.1176509000361,,94.0725360000506,10,94.1176509000361,94.1176509000361,0.021878100000321865,100.37142050010152,[0.10833333333333334],[0.46166666666666667],[1],[0],[0],[6.277026999974623],[],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
45,0,45,0,100.39701310009696,,100.37377079995349,5,100.39701310009696,100.39701310009696,0.010967199923470616,101.85212430008687,[0.115],[0.135],[1],[0],[0],[1.4673722998704761],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
46,0,46,0,101.89589129993692,,101.8555139999371,10,101.89589129993692,101.89589129993692,0.022968400036916137,105.48399550002068,[0.08833333333333333],[-0.31166666666666665],[1],[0],[0],[3.6062268000096083],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
47,0,47,0,105.52739740000106,,105.4862975999713,10,105.52739740000106,105.52739740000106,0.0225615999661386,110.62992780003697,[-0.19333333333333333],[0.49333333333333335],[1],[0],[0],[5.121075700037181],[],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
48,0,48,0,110.65703830006532,,110.63260110002011,5,110.65703830006532,110.65703830006532,0.012712399940937757,112.26192670012824,[-0.2],[0.49166666666666664],[1],[0],[0],[1.6168315999675542],[],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
49,0,49,0,112.30605090013705,,112.264877300011,10,112.30605090013705,112.30605090013705,0.026158699998632073,113.29266620008275,[0.018333333333333333],[0.31],[1],[0],[0],[1.0015831999480724],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
50,0,50,0,113.32229900010861,,113.29559190012515,5,113.32229900010861,113.32229900010861,0.011023800121620297,114.89327759994194,[-0.021666666666666667],[-0.39666666666666667],[1],[0],[0],[1.586941999848932],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
51,0,51,0,114.93868799996562,,114.89625810016878,10,114.93868799996562,114.93868799996562,0.025718400022014976,116.29070560005493,[-0.14166666666666666],[-0.245],[1],[0],[0],[1.3681907998397946],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
52,0,52,0,116.31991389999166,,116.29348969995044,5,116.31991389999166,116.31991389999166,0.013231399934738874,117.6099600000307,[0.36833333333333335],[0.235],[1],[0],[0],[1.3033898998983204],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
53,0,53,0,117.65312310005538,,117.61226930003613,10,117.65312310005538,117.65312310005538,0.021143099991604686,120.02098200004548,[-0.2966666666666667],[-0.225],[1],[0],[0],[2.387457199860364],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
54,0,54,0,120.06757840001956,,120.02325009997003,10,120.06757840001956,120.06757840001956,0.02104180003516376,122.58602100005373,[0.23666666666666666],[-0.06833333333333333],[1],[0],[0],[2.5416313000023365],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
55,0,55,0,122.64939850009978,,122.58832340012304,10,122.64939850009978,122.64939850009978,0.02391440002247691,125.28553019999526,[0.41333333333333333],[0.3333333333333333],[1],[0],[0],[2.6734137998428196],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
56,0,56,0,125.34771340014413,,125.28773630014621,10,125.34771340014413,125.34771340014413,0.021660699974745512,134.2803833000362,[-0.38333333333333336],[0.46166666666666667],[1],[0],[0],[8.970900299958885],[],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
57,0,57,0,134.34198749996722,,134.28257529996336,10,134.34198749996722,134.34198749996722,0.02620530012063682,139.1768941001501,[-0.06166666666666667],[-0.25333333333333335],[1],[0],[0],[4.868187600048259],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
58,0,58,0,139.23875180003233,,139.18048350000754,10,139.23875180003233,139.23875180003233,0.022402500035241246,145.30878560012206,[0.23333333333333334],[-0.085],[1],[0],[0],[6.105789799941704],[],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
59,0,59,0,145.3847750001587,,145.3118770001456,10,145.3847750001587,145.3847750001587,0.025834200205281377,150.5875308001414,[-0.2866666666666667],[0.013333333333333334],[1],[0],[0],[5.250412000110373],[],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
60,0,60,0,150.61570950015448,,150.5899426001124,5,150.61570950015448,150.61570950015448,0.013100899988785386,151.83544809999876,[0.3983333333333333],[-0.30666666666666664],[1],[0],[0],[1.2325281999073923],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
61,0,61,0,151.86420940002427,,151.83750730007887,5,151.86420940002427,151.86420940002427,0.012905600015074015,153.13496880000457,[-0.4216666666666667],[0.08],[1],[0],[0],[1.284741000039503],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
62,0,62,0,153.16271770000458,,153.13777959998697,5,153.16271770000458,153.16271770000458,0.014104400062933564,154.60283640003763,[-0.18833333333333332],[-0.35833333333333334],[1],[0],[0],[1.451559699838981],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
63,0,63,0,154.6625394001603,,154.6057186999824,10,154.6625394001603,154.6625394001603,0.02234110003337264,157.182483300101,[0.085],[-0.37],[1],[0],[0],[2.5547527000308037],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
64,0,64,0,157.22742340015247,,157.18664930015802,10,157.22742340015247,157.22742340015247,0.02131760003976524,158.33039980009198,[0.2916666666666667],[-0.15],[1],[0],[0],[1.1227949999738485],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
65,0,65,0,158.36032110010274,,158.33260710001923,5,158.36032110010274,158.36032110010274,0.012445200001820922,160.347776300041,[-0.02666666666666667],[0.48],[1],[0],[0],[2.0028894001152366],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
66,0,66,0,160.3754712000955,,160.35028270003386,5,160.3754712000955,160.3754712000955,0.013462499948218465,161.52930160006508,[0.07833333333333334],[0.21833333333333332],[1],[0],[0],[1.165579800028354],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
67,0,67,0,161.57485090009868,,161.5314293000847,10,161.57485090009868,161.57485090009868,0.022580399876460433,163.2120291001629,[0.4166666666666667],[-0.26],[1],[0],[0],[1.658112200209871],['target'],534755,001,2024-10-07_20h03.29.800,visualsearch,2024.1.5,None,2024-10-07 20h03.35.407349 +0530,
