trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.0334927998483181,,0.0048056000377982855,5,0.0334927998483181,0.0334927998483181,0.023743900004774332,1.9522859998978674,[-0.2064814814814815],[-0.36203703703703705],[1],[0],[0],[1.927137800026685],[],713399,001,2024-10-07_20h13.10.287,visualsearch,2024.1.5,None,2024-10-07 20h13.17.467068 +0530,
1,0,1,0,1.9876837998162955,,1.9607681999914348,5,1.9876837998162955,1.9876837998162955,0.021595099940896034,2.973447500029579,[-0.2814814814814815],[-0.3824074074074074],[1],[0],[0],[0.9919396000914276],[],713399,001,2024-10-07_20h13.10.287,visualsearch,2024.1.5,None,2024-10-07 20h13.17.467068 +0530,
2,0,2,0,3.0257037999108434,,2.97929049981758,10,3.0257037999108434,3.0257037999108434,0.03144549997523427,5.221853099996224,[-0.4564814814814815],[0.07407407407407407],[1],[0],[0],[2.2114952001720667],['target'],713399,001,2024-10-07_20h13.10.287,visualsearch,2024.1.5,None,2024-10-07 20h13.17.467068 +0530,
3,0,3,0,5.268929000012577,,5.225400399882346,10,5.268929000012577,5.268929000012577,0.026768899988383055,6.7324106998275965,[0.005555555555555556],[0.43425925925925923],[1],[0],[0],[1.4804422999732196],['target'],713399,001,2024-10-07_20h13.10.287,visualsearch,2024.1.5,None,2024-10-07 20h13.17.467068 +0530,
4,0,4,0,6.75368219986558,,6.735226399963722,5,6.75368219986558,6.75368219986558,0.012798799900338054,7.651686399942264,[0.47129629629629627],[0.40555555555555556],[1],[0],[0],[0.9035513000562787],[],713399,001,2024-10-07_20h13.10.287,visualsearch,2024.1.5,None,2024-10-07 20h13.17.467068 +0530,
5,0,5,0,7.6774035999551415,,7.656477999873459,5,7.6774035999551415,7.6774035999551415,0.015771000180393457,9.246959300013259,[-0.06944444444444445],[-0.38981481481481484],[1],[0],[0],[1.5747666000388563],['target'],713399,001,2024-10-07_20h13.10.287,visualsearch,2024.1.5,None,2024-10-07 20h13.17.467068 +0530,
6,0,6,0,9.278411400038749,,9.25259089982137,5,9.278411400038749,9.278411400038749,0.01965959998778999,10.463261999888346,[0.337037037037037],[0.22685185185185186],[1],[0],[0],[1.1913987000007182],['target'],713399,001,2024-10-07_20h13.10.287,visualsearch,2024.1.5,None,2024-10-07 20h13.17.467068 +0530,
7,0,7,0,10.511963999830186,,10.469433899968863,10,10.511963999830186,10.511963999830186,0.03102210001088679,11.966545699862763,[0.016666666666666666],[-0.08796296296296297],[1],[0],[0],[1.466368299908936],['target'],713399,001,2024-10-07_20h13.10.287,visualsearch,2024.1.5,None,2024-10-07 20h13.17.467068 +0530,
8,0,8,0,12.020735800033435,,11.970503599848598,10,12.020735800033435,12.020735800033435,0.03317960002459586,13.72728700004518,[-0.10740740740740741],[0.11388888888888889],[1],[0],[0],[1.7238668000791222],[],713399,001,2024-10-07_20h13.10.287,visualsearch,2024.1.5,None,2024-10-07 20h13.17.467068 +0530,
9,0,9,0,13.778326899977401,,13.730064299888909,10,13.778326899977401,13.778326899977401,0.026008700020611286,15.304733699886128,[-0.15833333333333333],[-0.15092592592592594],[1],[0],[0],[1.5487253998871893],['target'],713399,001,2024-10-07_20h13.10.287,visualsearch,2024.1.5,None,2024-10-07 20h13.17.467068 +0530,
