trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
11,0,11,0,16.790114899999026,,16.756891900000483,10,16.790114899999026,16.790114899999026,0.01990289999957895,17.96987850000005,[0.2601851851851852],[-0.40370370370370373],[0],[0],[1],[1.193023699997866],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
12,0,12,0,17.993643300000258,,17.972667699999874,5,17.993643300000258,17.993643300000258,0.011519700001372257,19.06990290000249,[0.07592592592592592],[-0.3333333333333333],[1],[0],[0],[1.0857012000014947],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
13,0,13,0,19.0938055000006,,19.072885800000222,5,19.0938055000006,19.0938055000006,0.010050299999420531,21.035528100001102,[-0.36666666666666664],[-0.36666666666666664],[1],[0],[0],[1.9528465000003052],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
14,0,14,0,21.06541339999967,,21.03813269999955,5,21.06541339999967,21.06541339999967,0.012528799998108298,22.86686220000047,[-0.1574074074074074],[0.3861111111111111],[1],[0],[0],[1.8165900999993028],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
15,0,15,0,22.911954300001526,,22.869061400000646,10,22.911954300001526,22.911954300001526,0.02166679999936605,24.933285999999498,[-0.11018518518518519],[-0.08148148148148149],[1],[0],[0],[2.0427599999966333],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
16,0,16,0,24.952220999999554,,24.93559820000155,5,24.952220999999554,24.952220999999554,0.011170000001584413,28.148581000001286,[0.16944444444444445],[0.49722222222222223],[1],[0],[0],[3.2017760000017006],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
17,0,17,0,28.166873099999066,,28.151321800000005,5,28.166873099999066,28.166873099999066,0.010295200001564808,29.547009000001708,[-0.2564814814814815],[-0.020370370370370372],[1],[0],[0],[1.3856839000000036],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
18,0,18,0,29.584598199999164,,29.549563299999136,10,29.584598199999164,29.584598199999164,0.020785000000614673,31.59490630000073,[-0.45185185185185184],[-0.18796296296296297],[1],[0],[0],[2.0250897000005352],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
19,0,19,0,31.635268500001985,,31.598275200001808,10,31.635268500001985,31.635268500001985,0.022188599999935832,32.743783100002474,[-0.000925925925925926],[-0.14537037037037037],[1],[0],[0],[1.1238998000007996],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
20,0,20,0,32.78660890000174,,32.74598619999961,10,32.78660890000174,32.78660890000174,0.021457099999679485,34.45446169999923,[-0.4925925925925926],[0.04814814814814815],[1],[0],[0],[1.687024200000451],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
21,0,21,0,34.51272090000202,,34.45673760000136,10,34.51272090000202,34.51272090000202,0.029136000001017237,36.25847509999949,[-0.31851851851851853],[0.3675925925925926],[1],[0],[0],[1.772696399999404],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
22,0,22,0,36.33312970000043,,36.260855500000616,10,36.33312970000043,36.33312970000043,0.03457169999819598,38.443556700000045,[0.35462962962962963],[0.3453703703703704],[1],[0],[0],[2.1483017999998992],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
23,0,23,0,38.47776330000124,,38.44598930000211,5,38.47776330000124,38.47776330000124,0.022898700000951067,40.056503600000724,[-0.14629629629629629],[-0.25],[1],[0],[0],[1.5878116999992926],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
24,0,24,0,40.081766700001026,,40.05890300000101,5,40.081766700001026,40.081766700001026,0.011195200000656769,41.2726533999994,[-0.4777777777777778],[0.11481481481481481],[1],[0],[0],[1.2026766000017233],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
25,0,25,0,41.30821880000076,,41.27478510000219,10,41.30821880000076,41.30821880000076,0.020723900001030415,46.43590150000091,[-0.11388888888888889],[0.08518518518518518],[1],[0],[0],[5.140177600002062],[],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
26,0,26,0,46.48682330000156,,46.43878609999956,10,46.48682330000156,46.48682330000156,0.025570900001184782,48.300477100001444,[-0.08055555555555556],[-0.07222222222222222],[1],[0],[0],[1.8363238999991154],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
27,0,27,0,48.32048990000112,,48.302679600001284,5,48.32048990000112,48.32048990000112,0.011311700000078417,49.56832330000179,[-0.025],[-0.2675925925925926],[1],[0],[0],[1.2540908999981184],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
28,0,28,0,49.608784600000945,,49.57267259999935,10,49.608784600000945,49.608784600000945,0.02397230000133277,51.582510100000945,[-0.04814814814814815],[0.3768518518518518],[1],[0],[0],[1.9862794000000576],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
29,0,29,0,51.622767799999565,,51.584604200001195,10,51.622767799999565,51.622767799999565,0.02106840000124066,53.064459299999726,[-0.27685185185185185],[0.35648148148148145],[1],[0],[0],[1.458691199997702],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
30,0,30,0,53.091144000001805,,53.06698089999918,5,53.091144000001805,53.091144000001805,0.015480000001844019,55.156963199999154,[0.06574074074074074],[0.07777777777777778],[1],[0],[0],[2.073694400001841],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
